Model,MAE,RMSE,R2 Score
Linear Regression,3.856348662295278,5.234653212643709,0.9776346335718017
Random Forest,46.99567097527084,57.734164469262126,-1.7206079122062161
Decision Tree,47.9248660097164,58.506954432112245,-1.7939277408087242
Gradient Boosting,50.1524129184443,60.55075823661461,-1.9925358260837336
